hs_code,parent_code,level,item_name,chapter,heading,subheading
2901,29,2,非環式炭化水素,29,2901,
290110000,290110,4,飽和のもの,29,2901,290110
290121000,290121,4,エチレン,29,2901,290121
290122000,290122,4,プロペン（プロピレン）,29,2901,290122
290123000,290123,4,ブテン（ブチレン）及びその異性体,29,2901,290123
290124,2901,3,"ブタ-1,3-ジエン及びイソプレン",29,2901,290124
290124010,290124,4,"1 ブタ-1,3-ジエン",29,2901,290124
290124020,290124,4,2 イソプレン,29,2901,290124
290129000,290129,4,その他のもの,29,2901,290129
2902,29,2,環式炭化水素,29,2902,
290211000,290211,4,シクロヘキサン,29,2902,290211
290219,2902,3,その他のもの,29,2902,290219
290219010,290219,4,1 5-エチリデン-2-ノルボルネン,29,2902,290219
290219090,290219,4,2 その他のもの,29,2902,290219
290220000,290220,4,ベンゼン,29,2902,290220
290230000,290230,4,トルエン,29,2902,290230
290241000,290241,4,オルト-キシレン,29,2902,290241
290242000,290242,4,メタ-キシレン,29,2902,290242
290243000,290243,4,パラ-キシレン,29,2902,290243
290244000,290244,4,キシレン異性体の混合物,29,2902,290244
290250000,290250,4,スチレン,29,2902,290250
290260000,290260,4,エチルベンゼン,29,2902,290260
290270000,290270,4,クメン,29,2902,290270
290290000,290290,4,その他のもの,29,2902,290290
2903,29,2,炭化水素のハロゲン化誘導体,29,2903,
290311000,290311,4,クロロメタン（塩化メチル）及びクロロエタン（塩化エチル）,29,2903,290311
290312000,290312,4,ジクロロメタン（塩化メチレン）,29,2903,290312
290313000,290313,4,クロロホルム（トリクロロメタン）,29,2903,290313
290314000,290314,4,四塩化炭素,29,2903,290314
290315000,290315,4,"二塩化エチレン（ISO）（1,2-ジクロロエタン）",29,2903,290315
290319,2903,3,その他のもの,29,2903,290319
290319010,290319,4,"－ 1,1,1-トリクロロエタン",29,2903,290319
290319090,290319,4,－ その他のもの,29,2903,290319
290321000,290321,4,塩化ビニル（クロロエチレン）,29,2903,290321
290322000,290322,4,トリクロロエチレン,29,2903,290322
290323000,290323,4,テトラクロロエチレン（ペルクロロエチレン）,29,2903,290323
290329000,290329,4,その他のもの,29,2903,290329
290341000,290341,4,トリフルオロメタン（HFC-23）,29,2903,290341
290342000,290342,4,ジフルオロメタン（HFC-32）,29,2903,290342
290343,2903,3,"フルオロメタン（HFC-41）、1,2-ジフルオロエタン（HFC-152）及び1,1-ジフルオロエタン（HFC-152a）",29,2903,290343
290343010,290343,4,－ フルオロメタン（HFC-41）,29,2903,290343
290343020,290343,4,"－ 1,2-ジフルオロエタン（HFC-152）",29,2903,290343
290343031,290343,4,－－ 噴霧器に充填したもの,29,2903,290343
290343039,290343,4,－－ その他のもの,29,2903,290343
290344,2903,3,"ペンタフルオロエタン（HFC-125）、1,1,1-トリフルオロエタン（HFC-143a）及び1,1,2-トリフルオロエタン（HFC-143）",29,2903,290344
290344010,290344,4,－ ペンタフルオロエタン（HFC-125）,29,2903,290344
290344020,290344,4,"－ 1,1,1-トリフルオロエタン（HFC-143a）",29,2903,290344
290344030,290344,4,"－ 1,1,2-トリフルオロエタン（HFC-143）",29,2903,290344
290345,2903,3,"1,1,1,2-テトラフルオロエタン（HFC-134a）及び1,1,2,2-テトラフルオロエタン（HFC-134）",29,2903,290345
290345011,290345,4,－－ 噴霧器に充填したもの,29,2903,290345
290345019,290345,4,－－ その他のもの,29,2903,290345
290345020,290345,4,"－ 1,1,2,2-テトラフルオロエタン（HFC-134）",29,2903,290345
290346,2903,3,"1,1,1,2,3,3,3-ヘプタフルオロプロパン（HFC-227ea）、1,1,1,2,2,3-ヘキサフルオロプロパン（HFC-236cb）、1,1,1,2,3,3-ヘキサフルオロプロパン（HFC-236ea）及び1,1,1,3,3,3-ヘキサフルオロプロパン（HFC-236fa）",29,2903,290346
290346010,290346,4,"－ 1,1,1,2,3,3,3-ヘプタフルオロプロパン（HFC-227ea）",29,2903,290346
290346020,290346,4,"－ 1,1,1,2,2,3-ヘキサフルオロプロパン（HFC-236cb）",29,2903,290346
290346030,290346,4,"－ 1,1,1,2,3,3-ヘキサフルオロプロパン（HFC-236ea）",29,2903,290346
290346040,290346,4,"－ 1,1,1,3,3,3-ヘキサフルオロプロパン（HFC-236fa）",29,2903,290346
290347,2903,3,"1,1,1,3,3-ペンタフルオロプロパン（HFC-245fa）及び1,1,2,2,3-ペンタフルオロプロパン（HFC-245ca）",29,2903,290347
290347010,290347,4,"－ 1,1,1,3,3-ペンタフルオロプロパン（HFC-245fa）",29,2903,290347
290347020,290347,4,"－ 1,1,2,2,3-ペンタフルオロプロパン（HFC-245ca）",29,2903,290347
